 Date,PM2.5,PM10,NO2,SO2,CO,Ozone,NH3
25-06-2019,12.57,43.83,8.01,9.49,None,25.01,4.94
26-06-2019,9.16,34.11,3.16,9.51,0.36,30.51,6.82
27-06-2019,6.71,29.44,None,9.42,0.22,26.75,None
28-06-2019,2.9,18.61,3.32,9.49,0.18,26.26,5.98
29-06-2019,4.08,28.56,4.03,9.52,0.03,30.3,2.5
30-06-2019,5.93,37.2,6.72,9.52,0.16,39.17,1.58
01-07-2019,6.14,42.8,6.76,9.61,0.21,27.27,0.94
02-07-2019,6.27,34.15,9.67,9.69,0.22,29.47,0.95
03-07-2019,4.68,24.58,12.54,9.77,0.23,27.11,2.23
04-07-2019,10.14,28.32,8,9.83,0.21,26.5,3.06
05-07-2019,10.36,43.75,5.26,10.09,0.21,24.87,1.57
06-07-2019,10.79,57.81,4.81,9.99,0.19,24.85,2.04
07-07-2019,14.73,61.44,5.96,9.92,0.15,24.85,3.48
08-07-2019,68.13,303.18,None,9.55,0.06,29.93,None
09-07-2019,8.11,158.68,85.16,9.94,0.14,23.8,42.4
10-07-2019,5.49,45.1,2.92,9.83,0.15,22.47,7.35
11-07-2019,3.25,28.65,3.12,9.87,0.42,16.59,None
12-07-2019,8.54,43.72,9.31,9.9,0.23,6.31,14.66
13-07-2019,8.72,42.24,4.35,9.05,0.24,15.1,9.25
14-07-2019,12.63,43.98,3.51,7.49,0.19,7.01,6.7
15-07-2019,11.9,39.39,2.61,7.7,0.22,8.68,7.74
16-07-2019,13.18,49.68,3.55,7.68,0.19,9.34,6.43
17-07-2019,14.45,49.29,3.66,7.66,0.21,8.93,5.79
18-07-2019,14.61,47.1,4.69,7.71,0.23,8.9,5.67
19-07-2019,15.71,67.82,4.47,7.81,0.26,7.88,6.11
20-07-2019,23.29,83.23,7.69,7.81,0.29,8.24,7.35
21-07-2019,19.04,48.37,13.5,8.12,0.33,9.43,7.86
22-07-2019,27.23,48.46,13.91,8.41,0.43,16.15,8.4
23-07-2019,9.48,18.05,7.05,7.92,0.29,18.31,7.31
24-07-2019,5.32,15.28,4.21,8.13,0.27,10.9,9.9
25-07-2019,11.25,24.94,3.14,8.12,0.22,10.77,11.47
26-07-2019,15.43,43.49,3.65,7.93,0.26,12.65,7.51
27-07-2019,13.94,42.9,2.9,8.06,0.25,12.43,6.31
28-07-2019,15.55,45.47,2.48,8.04,0.22,14.54,5.99
29-07-2019,16.45,53.34,2.54,8.1,0.21,15.11,6.11
30-07-2019,15.52,50.4,3.34,8.15,0.23,12.46,5.75
31-07-2019,11.4,34.79,2.81,8.15,0.24,11.59,6.53
01-08-2019,11.8,31.62,2.69,8.11,0.23,10.6,6.89
02-08-2019,11.15,37.09,1.76,8.05,0.18,10.84,5.75
03-08-2019,10.42,33.38,1.88,8.13,0.18,9.86,4.85
04-08-2019,9.97,25.81,2.17,8.15,0.21,12.42,6.04
05-08-2019,11.8,37.71,2.65,8.02,0.19,10.57,5.93
06-08-2019,13.04,42.04,2.37,5.71,0.23,8.28,4.78
07-08-2019,11.87,37.26,2.59,1.83,0.26,12.32,4.34
08-08-2019,13.84,42.77,2.11,1.84,0.29,15.86,5.43
09-08-2019,20.7,68.25,3.93,1.8,0.32,15.48,4.2
10-08-2019,20.46,62.6,3.05,1.68,0.31,17.54,2.1
11-08-2019,24.04,123.69,2.96,1.93,0.29,19.46,3.38
12-08-2019,17.23,55.63,2.94,1.57,0.29,22.41,3.81
13-08-2019,15.57,51.59,3.41,1.68,0.32,21.69,2.26
14-08-2019,12.81,43.69,5.4,1.65,0.34,21.57,3.27
15-08-2019,16.22,56.78,4.36,1.69,0.34,24.86,2.67
16-08-2019,14.78,41.52,3.1,1.64,0.29,23.26,4.35
17-08-2019,14.56,47.3,4.46,1.77,0.31,22.67,2.98
18-08-2019,13.27,46.05,2.87,1.79,0.33,26.77,3.62
19-08-2019,13,45.32,3.95,1.66,0.36,22.9,2.78
20-08-2019,13.54,47.37,4.78,1.71,0.37,21.48,2.74
